qa_id,fold,k,truth,base_pred,ext_pred,champ_pred,champ_ok,has_phase,base_ok,ext_ok
training_3270,3,3,C,C,C,C,True,True,True,True
training_3271,3,3,B,B,B,B,True,True,True,True
training_3272,3,3,A,A,A,A,True,True,True,True
training_3273,3,3,D,D,D,D,True,True,True,True
training_3274,3,3,C,C,C,C,True,True,True,True
training_3275,3,3,C,C,C,C,True,True,True,True
training_3276,3,3,A,A,A,A,True,True,True,True
training_3277,3,3,B,B,B,B,True,True,True,True
training_3278,3,3,A,A,A,A,True,True,True,True
training_3279,3,3,A,A,A,A,True,True,True,True
training_3280,3,3,A,A,A,A,True,True,True,True
training_3281,3,3,B,B,B,B,True,True,True,True
training_3282,3,3,B,B,B,B,True,True,True,True
training_3283,3,3,D,D,D,D,True,True,True,True
training_3284,3,3,D,D,D,D,True,True,True,True
training_3285,3,3,A,A,A,A,True,True,True,True
training_3286,3,3,B,B,B,B,True,True,True,True
training_3287,3,3,B,B,B,B,True,True,True,True
training_3288,3,3,D,D,D,D,True,True,True,True
training_3289,3,3,D,D,D,D,True,True,True,True
training_3290,3,3,A,A,A,A,True,True,True,True
training_3291,3,3,C,C,C,C,True,True,True,True
training_3292,3,3,B,A,A,A,False,True,False,False
training_3293,3,3,A,A,A,A,True,True,True,True
training_3294,3,3,C,D,D,D,False,True,False,False
training_3295,3,3,A,A,A,A,True,True,True,True
training_3296,3,3,B,B,D,B,True,True,True,False
training_3297,3,3,C,C,B,C,True,True,True,False
training_3298,3,3,D,A,A,D,True,True,False,False
training_3299,3,3,A,A,A,A,True,True,True,True
training_3300,3,3,C,B,B,C,True,True,False,False
training_3301,3,3,D,D,D,D,True,True,True,True
training_3302,3,3,C,C,C,C,True,True,True,True
training_3303,3,3,D,D,D,D,True,True,True,True
training_2872,3,3,C,C,C,C,True,True,True,True
training_2873,3,3,A,A,A,A,True,True,True,True
training_2874,3,3,B,B,B,B,True,True,True,True
training_2875,3,3,C,C,C,C,True,True,True,True
training_2876,3,3,D,D,D,D,True,True,True,True
training_2877,3,3,D,D,D,D,True,True,True,True
training_2878,3,3,A,A,A,A,True,True,True,True
training_2879,3,3,A,A,A,A,True,True,True,True
training_2880,3,3,A,A,A,A,True,True,True,True
training_2881,3,3,A,C,C,C,False,True,False,False
training_2882,3,3,B,D,D,D,False,True,False,False
training_2883,3,3,B,B,B,B,True,True,True,True
training_2884,3,3,A,A,A,A,True,True,True,True
training_2885,3,3,B,A,A,A,False,True,False,False
training_2886,3,3,D,A,A,A,False,True,False,False
training_2887,3,3,A,A,A,A,True,True,True,True
training_2888,3,3,C,C,C,C,True,True,True,True
training_2889,3,3,C,C,C,C,True,True,True,True
training_2890,3,3,D,D,D,D,True,True,True,True
training_2891,3,3,D,D,D,D,True,True,True,True
training_2892,3,3,D,D,D,D,True,True,True,True
training_2893,3,3,B,B,B,B,True,True,True,True
training_2894,3,3,B,B,B,B,True,False,True,True
training_2895,3,3,B,B,B,B,True,True,True,True
training_2896,3,3,D,D,B,D,True,True,True,False
training_2897,3,3,B,B,A,B,True,True,True,False
training_2898,3,3,B,B,B,B,True,True,True,True
training_2899,3,3,B,B,B,B,True,False,True,True
training_2900,3,3,C,C,C,C,True,False,True,True
training_2901,3,3,C,C,C,C,True,False,True,True
training_2902,3,3,B,B,B,B,True,True,True,True
training_2903,3,3,B,B,B,B,True,True,True,True
training_2904,3,3,A,A,A,A,True,True,True,True
training_2905,3,3,A,A,A,A,True,True,True,True
training_2906,3,3,D,D,D,D,True,True,True,True
training_2907,3,3,A,A,A,A,True,True,True,True
training_2908,3,3,D,D,D,D,True,True,True,True
training_2909,3,3,C,C,C,C,True,True,True,True
training_2910,3,3,B,B,B,B,True,True,True,True
training_2911,3,3,A,A,A,A,True,True,True,True
training_2912,3,3,A,A,A,A,True,True,True,True
training_2913,3,3,C,C,C,C,True,True,True,True
training_3013,3,3,A,A,A,A,True,True,True,True
training_3014,3,3,C,C,C,C,True,True,True,True
training_3015,3,3,A,A,A,A,True,True,True,True
training_3016,3,3,C,B,B,B,False,True,False,False
training_3017,3,3,A,A,A,A,True,True,True,True
training_3018,3,3,D,A,A,A,False,True,False,False
training_3019,3,3,A,A,A,A,True,True,True,True
training_3020,3,3,A,A,A,A,True,True,True,True
training_3021,3,3,C,C,C,C,True,True,True,True
training_3022,3,3,B,B,B,B,True,True,True,True
training_3023,3,3,D,D,D,D,True,True,True,True
training_3024,3,3,A,A,A,A,True,True,True,True
training_3025,3,3,B,B,B,B,True,True,True,True
training_3026,3,3,B,B,B,B,True,True,True,True
training_3027,3,3,D,D,D,D,True,True,True,True
training_3028,3,3,D,D,D,D,True,True,True,True
training_3029,3,3,C,C,C,C,True,True,True,True
training_3030,3,3,B,B,B,B,True,True,True,True
training_3031,3,3,C,C,C,C,True,True,True,True
training_3032,3,3,B,B,B,B,True,True,True,True
training_3033,3,3,C,C,C,C,True,True,True,True
training_3034,3,3,C,C,C,C,True,True,True,True
training_3035,3,3,B,B,B,B,True,True,True,True
training_3036,3,3,A,A,A,A,True,True,True,True
training_3037,3,3,B,B,B,B,True,True,True,True
training_3038,3,3,D,D,D,D,True,True,True,True
training_3039,3,3,A,A,A,A,True,True,True,True
training_3040,3,3,A,C,A,A,True,True,False,True
training_3041,3,3,A,D,A,A,True,True,False,True
training_3042,3,3,B,B,B,B,True,True,True,True
training_3043,3,3,B,B,B,B,True,True,True,True
training_3044,3,3,A,A,A,A,True,True,True,True
training_3045,3,3,B,B,B,B,True,True,True,True
training_3046,3,3,D,D,D,D,True,True,True,True
training_3047,3,3,D,D,D,D,True,True,True,True
training_3048,3,3,C,C,C,C,True,True,True,True
training_3049,3,3,A,A,A,D,False,True,True,True
training_3050,3,3,A,A,A,D,False,True,True,True
training_3051,3,3,D,D,D,D,True,True,True,True
training_3052,3,3,B,B,B,B,True,True,True,True
training_3053,3,3,D,D,D,D,True,True,True,True
training_3054,3,3,D,D,D,D,True,True,True,True
training_3160,4,3,B,B,B,B,True,True,True,True
training_3161,4,3,B,D,D,D,False,True,False,False
training_3162,4,3,C,D,D,D,False,True,False,False
training_3163,4,3,A,B,B,B,False,True,False,False
training_3164,4,3,A,A,A,A,True,True,True,True
training_3165,4,3,A,C,C,C,False,True,False,False
training_3166,4,3,C,C,C,C,True,True,True,True
training_3167,4,3,D,D,D,D,True,True,True,True
training_3168,4,3,B,B,B,B,True,True,True,True
training_3169,4,3,C,C,C,C,True,True,True,True
training_3170,4,3,A,A,A,A,True,True,True,True
training_3171,4,3,C,C,C,C,True,True,True,True
training_3172,4,3,A,A,A,A,True,True,True,True
training_3173,4,3,A,A,A,A,True,True,True,True
training_3174,4,3,C,C,C,C,True,True,True,True
training_3175,4,3,B,B,B,B,True,True,True,True
training_3176,4,3,C,C,C,C,True,True,True,True
training_3177,4,3,D,D,D,D,True,True,True,True
training_3178,4,3,C,C,C,C,True,True,True,True
training_3179,4,3,A,A,A,A,True,True,True,True
training_3180,4,3,A,A,A,A,True,True,True,True
training_3181,4,3,D,D,D,D,True,True,True,True
training_3182,4,3,B,B,B,B,True,True,True,True
training_3183,4,3,A,A,A,A,True,True,True,True
training_3184,4,3,B,B,B,B,True,False,True,True
training_3185,4,3,D,D,D,D,True,False,True,True
training_3186,4,3,C,C,C,C,True,False,True,True
training_3187,4,3,B,B,B,B,True,True,True,True
training_3188,4,3,B,B,B,B,True,True,True,True
training_3189,4,3,A,A,A,A,True,True,True,True
training_3190,4,3,B,B,B,B,True,False,True,True
training_3191,4,3,A,A,A,A,True,False,True,True
training_3192,4,3,A,A,A,A,True,False,True,True
training_3193,4,3,D,D,D,D,True,True,True,True
training_3194,4,3,C,C,C,C,True,True,True,True
training_3195,4,3,D,D,D,D,True,True,True,True
training_3196,4,3,C,C,C,C,True,True,True,True
training_3197,4,3,B,B,B,B,True,True,True,True
training_3198,4,3,B,B,B,B,True,True,True,True
training_3199,4,3,A,A,A,A,True,False,True,True
training_3200,4,3,B,B,B,B,True,False,True,True
training_3201,4,3,B,B,B,B,True,False,True,True
training_3202,4,3,D,D,D,D,True,True,True,True
training_3203,4,3,A,A,A,A,True,True,True,True
training_3204,4,3,C,C,C,C,True,True,True,True
training_3205,4,3,A,A,A,A,True,True,True,True
training_3206,4,3,A,A,A,A,True,True,True,True
training_3207,4,3,A,A,A,A,True,True,True,True
training_3346,4,3,D,D,D,D,True,True,True,True
training_3347,4,3,A,A,A,A,True,True,True,True
training_3348,4,3,D,D,D,D,True,True,True,True
training_3349,4,3,B,B,B,B,True,True,True,True
training_3350,4,3,A,A,A,A,True,True,True,True
training_3351,4,3,D,D,D,D,True,True,True,True
training_3352,4,3,B,B,B,B,True,True,True,True
training_3353,4,3,B,B,B,B,True,True,True,True
training_3354,4,3,C,C,C,C,True,True,True,True
training_3355,4,3,A,A,A,A,True,True,True,True
training_3356,4,3,C,C,C,C,True,True,True,True
training_3357,4,3,B,B,B,B,True,True,True,True
training_3358,4,3,A,A,A,A,True,False,True,True
training_3359,4,3,D,A,D,A,False,False,False,True
training_3360,4,3,A,A,A,A,True,False,True,True
training_3361,4,3,A,B,B,A,True,True,False,False
training_3362,4,3,D,C,C,D,True,True,False,False
training_3363,4,3,D,D,D,D,True,True,True,True
training_3364,4,3,A,A,A,A,True,True,True,True
training_3365,4,3,B,B,B,B,True,True,True,True
training_3366,4,3,A,A,A,A,True,True,True,True
training_3367,4,3,C,C,C,C,True,True,True,True
training_3368,4,3,A,D,D,D,False,True,False,False
training_3369,4,3,B,C,C,C,False,True,False,False
training_3370,4,3,D,D,D,D,True,True,True,True
training_3371,4,3,B,B,B,B,True,True,True,True
training_3372,4,3,B,B,B,B,True,True,True,True
training_3373,4,3,B,A,B,B,True,True,False,True
training_3374,4,3,C,B,C,A,False,True,False,True
training_3375,4,3,C,C,C,D,False,True,True,True
training_3376,4,3,C,C,C,C,True,True,True,True
training_3377,4,3,B,B,B,B,True,True,True,True
training_3378,4,3,C,C,C,C,True,True,True,True
training_3379,4,3,D,D,D,D,True,True,True,True
training_3380,4,3,D,D,D,D,True,True,True,True
training_3381,4,3,C,C,C,C,True,True,True,True
training_3382,4,3,B,B,B,B,True,True,True,True
training_3383,4,3,D,D,D,D,True,True,True,True
training_3384,4,3,A,A,A,A,True,True,True,True
training_3385,4,3,A,A,A,A,True,True,True,True
training_3386,4,3,A,A,A,A,True,True,True,True
training_3387,4,3,A,A,A,A,True,True,True,True
training_2965,4,3,C,C,C,C,True,True,True,True
training_2966,4,3,C,D,D,D,False,True,False,False
training_2967,4,3,C,A,A,A,False,True,False,False
training_2968,4,3,C,C,C,C,True,True,True,True
training_2969,4,3,A,A,A,A,True,True,True,True
training_2970,4,3,C,C,C,C,True,True,True,True
training_2971,4,3,D,D,D,D,True,True,True,True
training_2972,4,3,D,D,D,D,True,True,True,True
training_2973,4,3,C,C,C,C,True,True,True,True
training_2974,4,3,B,B,B,B,True,True,True,True
training_2975,4,3,A,A,A,A,True,True,True,True
training_2976,4,3,C,C,C,C,True,True,True,True
training_2977,4,3,B,B,B,B,True,True,True,True
training_2978,4,3,C,C,C,C,True,True,True,True
training_2979,4,3,D,D,D,D,True,True,True,True
training_2980,4,3,A,A,A,A,True,True,True,True
training_2981,4,3,D,D,D,D,True,True,True,True
training_2982,4,3,D,D,D,D,True,True,True,True
training_2983,4,2,B,B,B,B,True,True,True,True
training_2985,4,2,A,A,A,A,True,True,True,True
training_2986,4,3,B,B,B,B,True,True,True,True
training_2987,4,3,B,B,B,B,True,True,True,True
training_2988,4,3,D,D,D,D,True,True,True,True
training_2989,4,3,A,A,A,A,True,True,True,True
training_2990,4,3,D,D,D,D,True,True,True,True
training_2991,4,3,B,B,B,B,True,True,True,True
training_2992,4,3,A,A,A,A,True,True,True,True
training_2993,4,3,A,A,A,A,True,True,True,True
training_2994,4,3,B,B,B,B,True,True,True,True
training_2995,4,3,D,D,D,D,True,True,True,True
training_2996,4,3,A,A,A,A,True,True,True,True
training_2997,4,3,A,A,A,A,True,True,True,True
training_2998,4,3,C,C,C,C,True,True,True,True
training_2999,4,3,C,C,C,C,True,True,True,True
training_3000,4,3,B,B,B,B,True,True,True,True
training_3001,4,3,D,D,D,D,True,True,True,True
training_3002,4,3,A,A,A,A,True,True,True,True
training_3003,4,3,D,D,D,D,True,True,True,True
training_3004,4,2,B,B,B,D,False,True,True,True
training_3006,4,2,A,A,A,A,True,True,True,True
training_3007,4,3,B,B,B,B,True,True,True,True
training_3008,4,3,B,B,B,B,True,True,True,True
training_3009,4,3,A,A,A,A,True,True,True,True
training_3010,4,3,B,B,B,B,True,True,True,True
training_3011,4,3,C,C,C,C,True,True,True,True
training_3012,4,3,B,B,B,B,True,True,True,True
