qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_0763,HAU,HAU/user23/7-2-3,single,Which action is performed in this video?,Running,Getting dressed,Taking medicine,Checking the time,C,user23
training_0764,HAU,HAU/user23/7-3-1,single,Which action is performed in this video?,Checking the time,Grabbing utensils,Listening to the music with headphones,Stretching,D,user23
training_0765,HAU,HAU/user23/7-3-2,single,Which action is performed in this video?,Writing,Using a phone,Peeling fruit,Checking the time,B,user23
training_0766,HAU,HAU/user23/7-3-3,single,Which action is performed in this video?,Using a phone,Playing games,Peeling fruit,Watching TV,A,user23
training_0812,HAU,HAU/user1/1-1-1,multi,Which of the following actions appear in this video?,Walking,Combing hair,Lying down,Squats,ABD,user1
training_0813,HAU,HAU/user1/1-1-2,multi,Which of the following actions appear in this video?,Lunges,Washing dishes,Eating,Getting dressed,D,user1
training_0814,HAU,HAU/user1/1-1-3,multi,Which of the following actions appear in this video?,Folding clothes,Washing dishes,Squats,Stirring,C,user1
training_0815,HAU,HAU/user1/1-2-1,multi,Which of the following actions appear in this video?,Wiping surface,Checking the time,Walking,Washing dishes,CD,user1
training_0816,HAU,HAU/user1/1-2-2,multi,Which of the following actions appear in this video?,Using a phone,Walking,Lying down,Mopping,B,user1
training_0817,HAU,HAU/user1/1-2-3,multi,Which of the following actions appear in this video?,Grabbing utensils,Running,Watching TV,Combing hair,A,user1
training_0818,HAU,HAU/user1/2-1-1,multi,Which of the following actions appear in this video?,Massaging oneself,Pouring,Eating,Peeling fruit,BCD,user1
training_0819,HAU,HAU/user1/2-1-2,multi,Which of the following actions appear in this video?,Eating,Walking,Writing,Grabbing utensils,ABD,user1
training_0820,HAU,HAU/user1/2-1-3,multi,Which of the following actions appear in this video?,Peeling fruit,Taking a selfie,Lunges,Calling,A,user1
training_0821,HAU,HAU/user1/2-2-1,multi,Which of the following actions appear in this video?,Using a phone,Sitting down,Folding clothes,Stirring,B,user1
training_0822,HAU,HAU/user1/2-2-2,multi,Which of the following actions appear in this video?,Pouring,Massaging oneself,Typing on a keyboard,Sitting down,CD,user1
training_0823,HAU,HAU/user1/2-2-3,multi,Which of the following actions appear in this video?,Typing on a keyboard,Walking,Taking medicine,Sitting down,ABD,user1
training_0824,HAU,HAU/user1/3-1-1,multi,Which of the following actions appear in this video?,Brushing teeth,Reading,Stirring,Eating,CD,user1
training_0825,HAU,HAU/user1/3-1-2,multi,Which of the following actions appear in this video?,Eating,Getting dressed,Wiping hands,Listening to the music with headphones,A,user1
training_0826,HAU,HAU/user1/3-1-3,multi,Which of the following actions appear in this video?,Washing face,Taking a selfie,Stirring,Sweeping,C,user1
training_0827,HAU,HAU/user1/3-2-1,multi,Which of the following actions appear in this video?,Walking,Getting dressed,Stretching,Calling,A,user1
training_0828,HAU,HAU/user1/3-2-2,multi,Which of the following actions appear in this video?,Lunges,Peeling fruit,Playing games,Lying down,A,user1
training_0829,HAU,HAU/user1/3-2-3,multi,Which of the following actions appear in this video?,Lunges,Standing up,Walking,Stirring,ABC,user1
training_0830,HAU,HAU/user1/4-1-1,multi,Which of the following actions appear in this video?,Stirring,Folding clothes,Eating,Drinking,ACD,user1
training_0831,HAU,HAU/user1/4-1-2,multi,Which of the following actions appear in this video?,Watching TV,Wiping surface,Stirring,Pouring,BCD,user1
training_0832,HAU,HAU/user1/4-1-3,multi,Which of the following actions appear in this video?,Drinking,Grabbing utensils,Stirring,Jumping jacks,ABC,user1
training_0833,HAU,HAU/user1/5-1-1,multi,Which of the following actions appear in this video?,Checking the time,Drinking,Wiping surface,Washing dishes,AB,user1
training_0834,HAU,HAU/user1/5-1-2,multi,Which of the following actions appear in this video?,Taking a selfie,Calling,Watching TV,Wiping surface,AC,user1
training_0835,HAU,HAU/user1/5-1-3,multi,Which of the following actions appear in this video?,Combing hair,Mopping,Getting dressed,Watching TV,D,user1
training_0836,HAU,HAU/user1/6-1-1,multi,Which of the following actions appear in this video?,Peeling fruit,Eating,Massaging oneself,Walking,ABD,user1
training_0837,HAU,HAU/user1/6-1-2,multi,Which of the following actions appear in this video?,Washing face,Eating,Peeling fruit,Walking,BCD,user1
training_0838,HAU,HAU/user1/6-1-3,multi,Which of the following actions appear in this video?,Eating,Walking,Peeling fruit,Combing hair,ABC,user1
training_0839,HAU,HAU/user1/6-2-1,multi,Which of the following actions appear in this video?,Checking body temperature,Using a phone,Standing up,Grabbing utensils,C,user1
training_0840,HAU,HAU/user1/6-2-2,multi,Which of the following actions appear in this video?,Sweeping,Sitting down,Eating,Using a phone,AB,user1
training_0841,HAU,HAU/user1/6-2-3,multi,Which of the following actions appear in this video?,Running,Standing up,Walking,Turning a page,BCD,user1
training_0842,HAU,HAU/user1/7-1-1,multi,Which of the following actions appear in this video?,Checking the time,Washing dishes,Using a phone,Stretching,D,user1
training_0843,HAU,HAU/user1/7-1-2,multi,Which of the following actions appear in this video?,Turning a page,Massaging oneself,Washing face,Lying down,B,user1
training_0844,HAU,HAU/user1/7-1-3,multi,Which of the following actions appear in this video?,Using a phone,Sweeping,Taking a selfie,Massaging oneself,D,user1
training_0845,HAU,HAU/user2/1-1-1,multi,Which of the following actions appear in this video?,Jumping jacks,Folding clothes,Stretching,Getting dressed,B,user2
training_0846,HAU,HAU/user2/1-1-2,multi,Which of the following actions appear in this video?,Folding clothes,Typing on a keyboard,Pouring,Washing dishes,A,user2
training_0847,HAU,HAU/user2/1-1-3,multi,Which of the following actions appear in this video?,Squats,Walking,Folding clothes,Peeling fruit,C,user2
training_0848,HAU,HAU/user2/1-2-1,multi,Which of the following actions appear in this video?,Walking,Stretching,Eating,Lunges,ABC,user2
training_0849,HAU,HAU/user2/1-2-2,multi,Which of the following actions appear in this video?,Eating,Walking,Playing games,Stretching,ABD,user2
training_0850,HAU,HAU/user2/1-2-3,multi,Which of the following actions appear in this video?,Grabbing utensils,Walking,Folding clothes,Writing,AB,user2
training_0851,HAU,HAU/user2/2-1-1,multi,Which of the following actions appear in this video?,Eating,Checking body temperature,Washing dishes,Using a phone,A,user2
training_0852,HAU,HAU/user2/2-1-2,multi,Which of the following actions appear in this video?,Brushing teeth,Walking,Washing dishes,Sweeping,B,user2
training_0853,HAU,HAU/user2/2-1-3,multi,Which of the following actions appear in this video?,Walking,Pouring,Grabbing utensils,Listening to the music with headphones,ABC,user2
training_0854,HAU,HAU/user2/2-2-1,multi,Which of the following actions appear in this video?,Folding clothes,Turning a page,Squats,Massaging oneself,CD,user2
training_0855,HAU,HAU/user2/2-2-2,multi,Which of the following actions appear in this video?,Eating,Wiping surface,Checking body temperature,Drinking,ACD,user2
training_0856,HAU,HAU/user2/2-2-3,multi,Which of the following actions appear in this video?,Stretching,Lunges,Massaging oneself,Wiping hands,ACD,user2
training_0857,HAU,HAU/user2/3-1-1,multi,Which of the following actions appear in this video?,Eating,Folding clothes,Sweeping,Grabbing utensils,C,user2
training_0858,HAU,HAU/user2/3-1-2,multi,Which of the following actions appear in this video?,Brushing teeth,Lunges,Washing dishes,Sweeping,D,user2
training_0859,HAU,HAU/user2/3-1-3,multi,Which of the following actions appear in this video?,Folding clothes,Mopping,Sweeping,Taking a selfie,BC,user2
training_0860,HAU,HAU/user2/3-2-2,multi,Which of the following actions appear in this video?,Calling,Walking,Reading,Turning a page,BCD,user2
training_0861,HAU,HAU/user2/3-2-3,multi,Which of the following actions appear in this video?,Turning a page,Wiping surface,Reading,Lunges,AC,user2
training_0862,HAU,HAU/user2/4-1-1,multi,Which of the following actions appear in this video?,Using a phone,Mopping,Undressing,Taking a selfie,A,user2
training_0863,HAU,HAU/user2/4-1-2,multi,Which of the following actions appear in this video?,Using a phone,Walking,Writing,Folding clothes,ABC,user2
training_0864,HAU,HAU/user2/4-1-3,multi,Which of the following actions appear in this video?,Using a phone,Grabbing utensils,Walking,Washing face,AC,user2
training_0865,HAU,HAU/user2/4-2-1,multi,Which of the following actions appear in this video?,Drinking,Taking a selfie,Grabbing utensils,Eating,ACD,user2
training_0866,HAU,HAU/user2/4-2-2,multi,Which of the following actions appear in this video?,Mopping,Combing hair,Grabbing utensils,Washing dishes,C,user2
training_0867,HAU,HAU/user2/4-2-3,multi,Which of the following actions appear in this video?,Running,Grabbing utensils,Watching TV,Listening to the music with headphones,B,user2
training_0868,HAU,HAU/user2/4-3-1,multi,Which of the following actions appear in this video?,Walking,Sweeping,Massaging oneself,Lunges,A,user2
training_0869,HAU,HAU/user2/4-3-2,multi,Which of the following actions appear in this video?,Lying down,Eating,Sitting down,Writing,CD,user2
training_0870,HAU,HAU/user2/4-3-3,multi,Which of the following actions appear in this video?,Writing,Grabbing utensils,Standing up,Walking,ACD,user2
training_0871,HAU,HAU/user2/5-1-1,multi,Which of the following actions appear in this video?,Jumping jacks,Squats,Taking medicine,Running,ABD,user2
training_0872,HAU,HAU/user2/5-1-2,multi,Which of the following actions appear in this video?,Typing on a keyboard,Running,Squats,Jumping jacks,BCD,user2
training_0873,HAU,HAU/user2/5-1-3,multi,Which of the following actions appear in this video?,Jumping jacks,Mopping,Washing face,Standing up,A,user2
training_0874,HAU,HAU/user2/5-2-1,multi,Which of the following actions appear in this video?,Mopping,Taking a selfie,Walking,Peeling fruit,CD,user2
training_0875,HAU,HAU/user2/5-2-2,multi,Which of the following actions appear in this video?,Wiping surface,Peeling fruit,Walking,Eating,BCD,user2
training_0876,HAU,HAU/user2/5-2-3,multi,Which of the following actions appear in this video?,Mopping,Reading,Calling,Eating,D,user2
training_0877,HAU,HAU/user2/6-1-1,multi,Which of the following actions appear in this video?,Stirring,Using a phone,Lying down,Running,ABD,user2
training_0878,HAU,HAU/user2/6-1-2,multi,Which of the following actions appear in this video?,Brushing teeth,Walking,Stirring,Listening to the music with headphones,BCD,user2
training_0879,HAU,HAU/user2/7-1-1,multi,Which of the following actions appear in this video?,Squats,Taking medicine,Brushing teeth,Sitting down,BD,user2
training_0880,HAU,HAU/user2/7-1-2,multi,Which of the following actions appear in this video?,Checking the time,Taking medicine,Sitting down,Washing dishes,BC,user2
training_0881,HAU,HAU/user2/7-1-3,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Taking medicine,Taking a selfie,Washing dishes,B,user2
training_0882,HAU,HAU/user2/7-2-1,multi,Which of the following actions appear in this video?,Peeling fruit,Walking,Typing on a keyboard,Writing,AB,user2
training_0883,HAU,HAU/user2/7-2-2,multi,Which of the following actions appear in this video?,Eating,Peeling fruit,Folding clothes,Walking,ABD,user2
training_0884,HAU,HAU/user2/7-2-3,multi,Which of the following actions appear in this video?,Walking,Wiping hands,Jumping jacks,Reading,A,user2
training_0885,HAU,HAU/user2/7-3-1,multi,Which of the following actions appear in this video?,Washing face,Eating,Using a phone,Watching TV,C,user2
training_0886,HAU,HAU/user2/7-3-2,multi,Which of the following actions appear in this video?,Pouring,Drinking,Walking,Folding clothes,C,user2
training_0887,HAU,HAU/user2/7-3-3,multi,Which of the following actions appear in this video?,Sitting down,Drinking,Mopping,Turning a page,A,user2
training_0924,HAU,HAU/user4/1-1-1,multi,Which of the following actions appear in this video?,Typing on a keyboard,Wiping hands,Using a phone,Washing face,BD,user4
training_0925,HAU,HAU/user4/1-1-2,multi,Which of the following actions appear in this video?,Grabbing utensils,Wiping hands,Peeling fruit,Brushing teeth,B,user4
training_0926,HAU,HAU/user4/1-1-3,multi,Which of the following actions appear in this video?,Wiping hands,Sweeping,Washing face,Turning a page,AC,user4
training_0927,HAU,HAU/user4/1-2-1,multi,Which of the following actions appear in this video?,Lunges,Stirring,Getting dressed,Grabbing utensils,BD,user4
training_0928,HAU,HAU/user4/1-2-2,multi,Which of the following actions appear in this video?,Washing dishes,Stirring,Squats,Peeling fruit,BD,user4
training_0929,HAU,HAU/user4/1-2-3,multi,Which of the following actions appear in this video?,Stirring,Standing up,Stretching,Playing games,A,user4
training_0930,HAU,HAU/user4/2-1-1,multi,Which of the following actions appear in this video?,Grabbing utensils,Drinking,Eating,Getting dressed,ABC,user4
training_0931,HAU,HAU/user4/2-1-2,multi,Which of the following actions appear in this video?,Reading,Washing face,Peeling fruit,Grabbing utensils,CD,user4
training_0932,HAU,HAU/user4/2-1-3,multi,Which of the following actions appear in this video?,Wiping hands,Eating,Standing up,Checking the time,BC,user4
training_0933,HAU,HAU/user4/2-2-1,multi,Which of the following actions appear in this video?,Mopping,Taking medicine,Standing up,Sweeping,AD,user4
training_0934,HAU,HAU/user4/2-2-2,multi,Which of the following actions appear in this video?,Mopping,Walking,Sweeping,Washing dishes,ABC,user4
training_0935,HAU,HAU/user4/2-2-3,multi,Which of the following actions appear in this video?,Stretching,Wiping surface,Mopping,Sweeping,CD,user4
training_0936,HAU,HAU/user4/3-2-1,multi,Which of the following actions appear in this video?,Pouring,Jumping jacks,Mopping,Squats,B,user4
training_0937,HAU,HAU/user4/3-2-2,multi,Which of the following actions appear in this video?,Using a phone,Standing up,Running,Lunges,ABC,user4
training_0938,HAU,HAU/user4/3-2-3,multi,Which of the following actions appear in this video?,Folding clothes,Typing on a keyboard,Using a phone,Lunges,C,user4
training_0939,HAU,HAU/user4/4-1-1,multi,Which of the following actions appear in this video?,Getting dressed,Calling,Sitting down,Playing games,B,user4
training_0940,HAU,HAU/user4/4-1-2,multi,Which of the following actions appear in this video?,Calling,Typing on a keyboard,Writing,Getting dressed,ABC,user4
training_0941,HAU,HAU/user4/4-1-3,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Writing,Lying down,Squats,B,user4
training_0942,HAU,HAU/user4/4-2-1,multi,Which of the following actions appear in this video?,Washing face,Walking,Washing dishes,Drinking,BCD,user4
training_0943,HAU,HAU/user4/4-2-2,multi,Which of the following actions appear in this video?,Washing face,Washing dishes,Drinking,Folding clothes,BC,user4
training_0944,HAU,HAU/user4/4-2-3,multi,Which of the following actions appear in this video?,Taking a selfie,Washing dishes,Walking,Washing face,BC,user4
training_0945,HAU,HAU/user4/5-1-1,multi,Which of the following actions appear in this video?,Stirring,Standing up,Writing,Calling,A,user4
training_0946,HAU,HAU/user4/5-1-2,multi,Which of the following actions appear in this video?,Washing face,Eating,Calling,Writing,B,user4
training_0947,HAU,HAU/user4/5-1-3,multi,Which of the following actions appear in this video?,Eating,Taking medicine,Stirring,Squats,AC,user4
training_0948,HAU,HAU/user4/5-2-1,multi,Which of the following actions appear in this video?,Typing on a keyboard,Watching TV,Grabbing utensils,Checking the time,AD,user4
training_0949,HAU,HAU/user4/5-2-2,multi,Which of the following actions appear in this video?,Undressing,Typing on a keyboard,Sitting down,Stretching,ABC,user4
training_0950,HAU,HAU/user4/5-2-3,multi,Which of the following actions appear in this video?,Walking,Grabbing utensils,Checking the time,Getting dressed,ACD,user4
training_0951,HAU,HAU/user4/6-1-1,multi,Which of the following actions appear in this video?,Standing up,Peeling fruit,Calling,Listening to the music with headphones,BCD,user4
training_0952,HAU,HAU/user4/6-1-2,multi,Which of the following actions appear in this video?,Peeling fruit,Using a phone,Massaging oneself,Running,ABC,user4
training_0953,HAU,HAU/user4/6-1-3,multi,Which of the following actions appear in this video?,Undressing,Listening to the music with headphones,Massaging oneself,Sweeping,BC,user4
training_0954,HAU,HAU/user4/7-1-1,multi,Which of the following actions appear in this video?,Taking medicine,Sitting down,Washing face,Peeling fruit,AD,user4
training_0955,HAU,HAU/user4/7-1-2,multi,Which of the following actions appear in this video?,Watching TV,Stretching,Peeling fruit,Taking medicine,CD,user4
training_0956,HAU,HAU/user4/7-1-3,multi,Which of the following actions appear in this video?,Sitting down,Walking,Brushing teeth,Wiping surface,B,user4
training_0957,HAU,HAU/user4/7-2-1,multi,Which of the following actions appear in this video?,Sitting down,Standing up,Massaging oneself,Sweeping,ABC,user4
training_0958,HAU,HAU/user4/7-2-2,multi,Which of the following actions appear in this video?,Lunges,Massaging oneself,Writing,Getting dressed,B,user4
training_0959,HAU,HAU/user4/7-2-3,multi,Which of the following actions appear in this video?,Stretching,Sitting down,Walking,Standing up,BCD,user4
training_0960,HAU,HAU/user5/1-1-1,multi,Which of the following actions appear in this video?,Washing face,Turning a page,Wiping surface,Combing hair,AD,user5
training_0961,HAU,HAU/user5/1-1-2,multi,Which of the following actions appear in this video?,Running,Combing hair,Undressing,Washing face,BD,user5
training_0962,HAU,HAU/user5/1-1-3,multi,Which of the following actions appear in this video?,Mopping,Washing face,Playing games,Lying down,B,user5
training_0963,HAU,HAU/user5/1-2-1,multi,Which of the following actions appear in this video?,Peeling fruit,Pouring,Lying down,Reading,AB,user5
training_0964,HAU,HAU/user5/1-2-2,multi,Which of the following actions appear in this video?,Brushing teeth,Sweeping,Pouring,Walking,CD,user5
training_0965,HAU,HAU/user5/1-2-3,multi,Which of the following actions appear in this video?,Turning a page,Playing games,Typing on a keyboard,Pouring,D,user5
training_0966,HAU,HAU/user5/2-1-1,multi,Which of the following actions appear in this video?,Sweeping,Massaging oneself,Drinking,Eating,CD,user5
training_0967,HAU,HAU/user5/2-1-2,multi,Which of the following actions appear in this video?,Turning a page,Calling,Peeling fruit,Jumping jacks,AC,user5
training_0968,HAU,HAU/user5/2-1-3,multi,Which of the following actions appear in this video?,Washing face,Listening to the music with headphones,Typing on a keyboard,Eating,D,user5
training_0969,HAU,HAU/user5/3-1-1,multi,Which of the following actions appear in this video?,Reading,Stirring,Sitting down,Washing face,AC,user5
training_0970,HAU,HAU/user5/3-1-2,multi,Which of the following actions appear in this video?,Turning a page,Massaging oneself,Standing up,Reading,ACD,user5
training_0971,HAU,HAU/user5/3-1-3,multi,Which of the following actions appear in this video?,Grabbing utensils,Taking a selfie,Sweeping,Brushing teeth,C,user5
training_0972,HAU,HAU/user5/3-2-1,multi,Which of the following actions appear in this video?,Drinking,Peeling fruit,Getting dressed,Writing,AB,user5
training_0973,HAU,HAU/user5/3-2-2,multi,Which of the following actions appear in this video?,Massaging oneself,Peeling fruit,Standing up,Eating,BD,user5
training_0974,HAU,HAU/user5/3-2-3,multi,Which of the following actions appear in this video?,Sweeping,Watching TV,Drinking,Standing up,C,user5
training_0975,HAU,HAU/user5/4-1-1,multi,Which of the following actions appear in this video?,Playing games,Calling,Reading,Checking the time,BD,user5
training_0976,HAU,HAU/user5/4-1-2,multi,Which of the following actions appear in this video?,Checking the time,Listening to the music with headphones,Typing on a keyboard,Wiping hands,AC,user5
training_0977,HAU,HAU/user5/4-1-3,multi,Which of the following actions appear in this video?,Taking medicine,Checking the time,Calling,Typing on a keyboard,BCD,user5
training_0978,HAU,HAU/user5/4-2-1,multi,Which of the following actions appear in this video?,Using a phone,Typing on a keyboard,Walking,Jumping jacks,C,user5
training_0979,HAU,HAU/user5/4-2-2,multi,Which of the following actions appear in this video?,Wiping surface,Sitting down,Using a phone,Stirring,D,user5
training_0980,HAU,HAU/user5/4-2-3,multi,Which of the following actions appear in this video?,Pouring,Running,Walking,Stirring,ACD,user5
training_0981,HAU,HAU/user5/4-3-1,multi,Which of the following actions appear in this video?,Mopping,Walking,Running,Reading,BD,user5
training_0982,HAU,HAU/user5/4-3-2,multi,Which of the following actions appear in this video?,Running,Turning a page,Walking,Reading,BCD,user5
training_0983,HAU,HAU/user5/4-3-3,multi,Which of the following actions appear in this video?,Jumping jacks,Combing hair,Walking,Typing on a keyboard,C,user5
training_0984,HAU,HAU/user5/5-1-1,multi,Which of the following actions appear in this video?,Using a phone,Typing on a keyboard,Mopping,Walking,CD,user5
training_0985,HAU,HAU/user5/5-1-2,multi,Which of the following actions appear in this video?,Mopping,Wiping surface,Checking the time,Walking,ABD,user5
training_0986,HAU,HAU/user5/5-1-3,multi,Which of the following actions appear in this video?,Mopping,Brushing teeth,Walking,Wiping surface,ACD,user5
training_0987,HAU,HAU/user5/5-2-1,multi,Which of the following actions appear in this video?,Checking the time,Lying down,Stretching,Typing on a keyboard,BC,user5
training_0988,HAU,HAU/user5/5-2-2,multi,Which of the following actions appear in this video?,Stretching,Lying down,Watching TV,Walking,ABD,user5
training_0989,HAU,HAU/user5/5-2-3,multi,Which of the following actions appear in this video?,Walking,Taking a selfie,Drinking,Lying down,AD,user5
training_0990,HAU,HAU/user5/6-1-1,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Checking the time,Walking,Drinking,C,user5
training_0991,HAU,HAU/user5/6-1-2,multi,Which of the following actions appear in this video?,Checking body temperature,Undressing,Lunges,Washing face,C,user5
training_0992,HAU,HAU/user5/6-1-3,multi,Which of the following actions appear in this video?,Folding clothes,Lunges,Wiping hands,Reading,B,user5
training_0993,HAU,HAU/user5/6-2-1,multi,Which of the following actions appear in this video?,Drinking,Using a phone,Washing dishes,Mopping,A,user5
training_0994,HAU,HAU/user5/6-2-2,multi,Which of the following actions appear in this video?,Drinking,Eating,Walking,Reading,ABC,user5
training_0995,HAU,HAU/user5/6-2-3,multi,Which of the following actions appear in this video?,Checking the time,Taking medicine,Drinking,Eating,CD,user5
training_0996,HAU,HAU/user5/7-1-1,multi,Which of the following actions appear in this video?,Folding clothes,Standing up,Sitting down,Walking,BCD,user5
training_0997,HAU,HAU/user5/7-1-2,multi,Which of the following actions appear in this video?,Sitting down,Washing dishes,Washing face,Wiping hands,A,user5
training_0998,HAU,HAU/user5/7-1-3,multi,Which of the following actions appear in this video?,Sitting down,Washing dishes,Eating,Turning a page,A,user5
training_0999,HAU,HAU/user5/7-2-1,multi,Which of the following actions appear in this video?,Pouring,Walking,Wiping surface,Drinking,ABD,user5
training_1000,HAU,HAU/user5/7-2-2,multi,Which of the following actions appear in this video?,Wiping hands,Pouring,Mopping,Calling,BC,user5
training_1001,HAU,HAU/user5/7-2-3,multi,Which of the following actions appear in this video?,Mopping,Walking,Drinking,Folding clothes,ABC,user5
training_1002,HAU,HAU/user6/1-1-1,multi,Which of the following actions appear in this video?,Calling,Mopping,Standing up,Walking,D,user6
training_1003,HAU,HAU/user6/1-1-2,multi,Which of the following actions appear in this video?,Eating,Brushing teeth,Walking,Checking body temperature,BC,user6
training_1004,HAU,HAU/user6/1-1-3,multi,Which of the following actions appear in this video?,Taking a selfie,Sitting down,Squats,Brushing teeth,D,user6
training_1005,HAU,HAU/user6/1-2-1,multi,Which of the following actions appear in this video?,Sitting down,Peeling fruit,Stretching,Drinking,BD,user6
training_1006,HAU,HAU/user6/1-2-2,multi,Which of the following actions appear in this video?,Eating,Stirring,Taking a selfie,Massaging oneself,AB,user6
training_1007,HAU,HAU/user6/1-2-3,multi,Which of the following actions appear in this video?,Mopping,Reading,Drinking,Undressing,C,user6
training_1008,HAU,HAU/user6/2-1-1,multi,Which of the following actions appear in this video?,Reading,Wiping hands,Taking a selfie,Stirring,D,user6
training_1009,HAU,HAU/user6/2-1-2,multi,Which of the following actions appear in this video?,Grabbing utensils,Pouring,Lying down,Stirring,ABD,user6
training_1010,HAU,HAU/user6/2-1-3,multi,Which of the following actions appear in this video?,Grabbing utensils,Stirring,Walking,Calling,AB,user6
training_1011,HAU,HAU/user6/2-2-1,multi,Which of the following actions appear in this video?,Mopping,Wiping hands,Standing up,Jumping jacks,B,user6
training_1012,HAU,HAU/user6/2-2-2,multi,Which of the following actions appear in this video?,Mopping,Combing hair,Drinking,Sweeping,B,user6
training_1013,HAU,HAU/user6/2-2-3,multi,Which of the following actions appear in this video?,Taking a selfie,Combing hair,Brushing teeth,Lunges,B,user6
training_1014,HAU,HAU/user6/2-3-1,multi,Which of the following actions appear in this video?,Lunges,Taking medicine,Washing face,Peeling fruit,D,user6
training_1015,HAU,HAU/user6/2-3-2,multi,Which of the following actions appear in this video?,Playing games,Walking,Brushing teeth,Peeling fruit,BD,user6
training_1016,HAU,HAU/user6/2-3-3,multi,Which of the following actions appear in this video?,Walking,Watching TV,Sweeping,Listening to the music with headphones,A,user6
training_1017,HAU,HAU/user6/3-1-1,multi,Which of the following actions appear in this video?,Standing up,Walking,Squats,Watching TV,ABC,user6
training_1018,HAU,HAU/user6/3-1-2,multi,Which of the following actions appear in this video?,Eating,Walking,Calling,Squats,BD,user6
training_1019,HAU,HAU/user6/3-1-3,multi,Which of the following actions appear in this video?,Standing up,Brushing teeth,Running,Playing games,A,user6
training_1020,HAU,HAU/user6/3-2-1,multi,Which of the following actions appear in this video?,Lying down,Calling,Peeling fruit,Washing dishes,CD,user6
training_1021,HAU,HAU/user6/3-2-2,multi,Which of the following actions appear in this video?,Washing dishes,Drinking,Peeling fruit,Walking,ABC,user6
training_1022,HAU,HAU/user6/3-2-3,multi,Which of the following actions appear in this video?,Walking,Combing hair,Washing dishes,Drinking,CD,user6
training_1023,HAU,HAU/user6/3-3-1,multi,Which of the following actions appear in this video?,Washing face,Wiping surface,Stretching,Walking,BD,user6
training_1024,HAU,HAU/user6/3-3-2,multi,Which of the following actions appear in this video?,Stretching,Calling,Wiping surface,Walking,CD,user6
training_1025,HAU,HAU/user6/3-3-3,multi,Which of the following actions appear in this video?,Calling,Wiping surface,Massaging oneself,Walking,BD,user6
training_1026,HAU,HAU/user6/4-1-1,multi,Which of the following actions appear in this video?,Peeling fruit,Running,Walking,Typing on a keyboard,BD,user6
training_1027,HAU,HAU/user6/4-1-2,multi,Which of the following actions appear in this video?,Pouring,Jumping jacks,Standing up,Checking body temperature,C,user6
training_1028,HAU,HAU/user6/4-1-3,multi,Which of the following actions appear in this video?,Playing games,Massaging oneself,Mopping,Listening to the music with headphones,D,user6
training_1029,HAU,HAU/user6/5-1-1,multi,Which of the following actions appear in this video?,Wiping surface,Listening to the music with headphones,Turning a page,Playing games,B,user6
training_1030,HAU,HAU/user6/5-1-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Using a phone,Peeling fruit,Checking body temperature,AB,user6
training_1031,HAU,HAU/user6/5-1-3,multi,Which of the following actions appear in this video?,Using a phone,Grabbing utensils,Walking,Folding clothes,A,user6
training_1032,HAU,HAU/user6/5-2-1,multi,Which of the following actions appear in this video?,Running,Typing on a keyboard,Peeling fruit,Lying down,C,user6
training_1033,HAU,HAU/user6/5-2-2,multi,Which of the following actions appear in this video?,Peeling fruit,Running,Eating,Walking,ACD,user6
training_1034,HAU,HAU/user6/5-2-3,multi,Which of the following actions appear in this video?,Brushing teeth,Eating,Stretching,Peeling fruit,BD,user6
training_1035,HAU,HAU/user6/5-3-1,multi,Which of the following actions appear in this video?,Wiping hands,Taking a selfie,Drinking,Typing on a keyboard,C,user6
training_1036,HAU,HAU/user6/5-3-2,multi,Which of the following actions appear in this video?,Standing up,Washing face,Grabbing utensils,Reading,C,user6
training_1037,HAU,HAU/user6/5-3-3,multi,Which of the following actions appear in this video?,Taking medicine,Sitting down,Undressing,Lunges,B,user6
training_1038,HAU,HAU/user6/6-1-1,multi,Which of the following actions appear in this video?,Lying down,Undressing,Reading,Lunges,AD,user6
training_1039,HAU,HAU/user6/6-1-2,multi,Which of the following actions appear in this video?,Grabbing utensils,Jumping jacks,Lying down,Lunges,BCD,user6
training_1040,HAU,HAU/user6/6-1-3,multi,Which of the following actions appear in this video?,Stretching,Washing face,Lunges,Lying down,CD,user6
training_1041,HAU,HAU/user6/6-2-1,multi,Which of the following actions appear in this video?,Lunges,Undressing,Watching TV,Checking the time,D,user6
training_1042,HAU,HAU/user6/6-2-2,multi,Which of the following actions appear in this video?,Running,Eating,Washing face,Watching TV,B,user6
training_1043,HAU,HAU/user6/6-2-3,multi,Which of the following actions appear in this video?,Sweeping,Getting dressed,Playing games,Reading,A,user6
training_1044,HAU,HAU/user6/7-1-1,multi,Which of the following actions appear in this video?,Brushing teeth,Pouring,Sitting down,Massaging oneself,CD,user6
training_1045,HAU,HAU/user6/7-1-2,multi,Which of the following actions appear in this video?,Sitting down,Writing,Lying down,Drinking,A,user6
training_1046,HAU,HAU/user6/7-1-3,multi,Which of the following actions appear in this video?,Sitting down,Lunges,Massaging oneself,Using a phone,AC,user6
training_1047,HAU,HAU/user6/7-2-1,multi,Which of the following actions appear in this video?,Washing face,Pouring,Eating,Sitting down,BC,user6
